,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماره","خوشه","نام گروه","نام استاندارد","کد استاندارد قدیم","ISCO",,,,,,,,,,,,,,,"پیشنیاز","سطح تحصيلات ورودي","ساعت- نظری","ساعت-عملی","ساعت-کارورزی","ساعت-پروژه","ساعت کل","کارو دانش","نوع","نام استاندارد به لاتین","تاریخ تدوین و به روز رسانی"
,,,,,"نسخه","کد شایستگی",,,"کد شغل",,,"کد گروه",,,"سطح مهارت","کد ISCO",,,,,,,,,,,,,,
"69","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آبخیزدار","3143/6/1","1","0","0","0","7","0","0","1","7","0","4","3","3","1","2","-","فوق ديپلم آبخيزداري","67","70","0","0","137","هیچ کدام","شغل",,"1389/11/01"
"70","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آماربردار جنگل","3143/3/1","1","0","0","0","7","1","0","1","7","0","3","3","4","1","3","-","فوق ديپلم جنگلداري","37","63","0","0","100","هیچ کدام","شغل",,"1390/02/01"
"71","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز  و محاسبه حوضه ­های آبریز EFH با نرم­ افزار کامپیوتری","2132/36","1","6","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","9","26","0","0","35","هیچ کدام","شایستگی",,"1388/12/01"
"72","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز  و محاسبه کانال­های روباز Flow Pro با نرم­ افزار کامپیوتری","2132/35","1","7","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"73","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز داده های آماری درهیدرولوژی","2132/45/1","1","6","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","11","34","0","0","45","هیچ کدام","شایستگی",,"1389/06/01"
"74","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز رودخانه ها و آب های زیر زمینی","2132/51/1","1","7","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"75","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز و شبیه­ سازی سازه ­های هیدرولیکیHydraulics آب با نرم­افزار","2132/30","1","8","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"76","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز و شبیه ­سازی مشخصات خاک با نرم­ افزار","2132/32","1","2","0","0","4","1","0","1","7","0","3","3","4","1","3","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"77","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز و کاهش الودگی آبهای زیرزمینی","2132/49/1","1","8","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"78","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیز و کنترل آبهای غیر متعارف","2132/41/1/1","1","9","1","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"79","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","آنالیزو شبیه ­سازی رفتارهای دینامیکی وانتقال کیفیتی آب بانرم­افزار   Epanet","2132/26","1","2","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/10/01"
"80","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","بازاریاب چوب","6210/26/1","1","0","0","0","2","1","0","1","7","0","2","1","3","4","2","-","دیپلم","45","70","0","0","115","هیچ کدام","شغل",,"1388"
"81","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","بهره بردار زمین های شور و قلیایی","6113/55/1","1","7","2","0","7","0","0","1","7","0","4","3","3","1","2","-","دیپلم","24","96","0","0","120","هیچ کدام","شایستگی",,"1390/03/01"
"82","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تجزیه وتحلیل داده های هیدروژئوشیمی آب با نرم افزار AQQA","2132/42/1","1","9","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","12","39","0","0","51","هیچ کدام","شایستگی",,"1388/12/01"
"83","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل و طراحی ساختمان چاه های آبی","2132/48/1","1","0","2","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"84","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل و مدل سازی سازه ها و جریان های آب در حالت ماندگار و غیر ماندگار با نرم افزار HEC-RAS","2132/27","1","3","0","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/10/01"
"85","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل و مدل سازی مدل های خاک با نرم افزار Hydro’s","2132/33","1","1","0","0","4","1","0","1","7","0","3","3","4","1","3","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
"86","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل وشبیه سازی مدل های کشاورزی و اقلیمی با نرم افزار CLIMGEN","2132/56/1","1","1","0","0","9","1","0","1","7","0","3","3","4","1","3","-","کارشناسی","11","34","0","0","45","هیچ کدام","شایستگی",,"1389/06/01"
"87","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل وطراحی قنات","2132/42/1/1","1","1","2","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"88","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل وکنترل آبهای زیرزمینی ساحلی","2132/50/1","1","2","2","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1389/06/01"
"89","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تحلیل وکنترل آبهای زیرزمینی کویری","2132/43/1","1","3","2","0","7","0","0","1","7","0","4","3","3","1","2","-","کارشناسی","11","33","0","0","44","هیچ کدام","شایستگی",,"1389/06/01"
"90","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین احیاء مرتع","6210/1/9","1","0","0","0","9","1","0","1","7","0","3","3","4","1","3","-","كارداني مرتعداري","37","58","0","0","95","هیچ کدام","شغل",,"1390/03/01"
"91","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین آبخیزداری","3143/8/1","1","0","0","0","0","2","0","1","7","0","4","3","3","1","2","-","كارداني مرتع وابخيز","45","60","0","0","105","هیچ کدام","شغل",,"1390/04/01"
"92","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین آزمایشگاه خاک حوزه آبخیز(آبخیزداری)","3143/10/1","1","0","0","0","0","1","0","1","7","0","4","3","3","1","2","-","فوق ديپلم خاكشناسي يا آبخيزداري","42","63","0","0","105","هیچ کدام","شغل",,"1390/06/01"
"93","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین آزمایشگاه خاک مرتع","6210/10/1","1","0","0","0","4","1","0","1","7","0","3","3","4","1","3","-","فوق ديپلم خاكشناسي","55","78","0","0","133","هیچ کدام","شغل",,"1389/11/01"
"94","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین آزمایشگاه خاک و آب","6210/11/1","1","0","0","0","3","1","0","1","7","0","3","3","4","1","3","-","فوق ديپلم آبخيزداري","55","78","0","0","133","هیچ کدام","شغل",,"1389/10/01"
"95","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین آزمایشگاه گیاهان مرتعی","6210/7/1","1","0","0","0","5","1","0","1","7","0","3","3","4","1","3","-","فوق ديپلم مرتعداري","51","61","0","0","112","هیچ کدام","شغل",,"1390/05/01"
"96","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","تکنسین کاشت نهال درختان جنگلی","6210/5/1","1","0","0","0","6","1","0","1","7","0","3","3","4","1","3","-","فوق ديپلم جنگلداري","44","67","0","0","111","هیچ کدام","شغل",,"1390/05/01"
"97","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","جهت یاب جنگل","6210/29/1","1","0","0","0","6","2","0","1","7","0","2","0","1","2","6","-","كارداني جنگلداري","38","62","0","0","100","هیچ کدام","شغل",,"1390/02/01"
"98","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","زغال گیر در جنگل","9212/1/1","1","0","0","0","5","3","0","1","7","0","1","5","1","2","9","-","پايان دوره راهنمايي","48","59","0","0","107","هیچ کدام","شغل",,"1390/09/01"
"99","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","سنجش از دور(Remote sensing) با نرم افزار Envi ","1311-107-001-1","1","9","2","0","7","0","0","1","7","0","4","3","3","1","2","-","فوق ديپلم كشاورزي يا محیط زيست یا منابع طبيعي ","25","70","0","0","95","هیچ کدام","شایستگی",,"1394/12/01"
"100","کشاورزی","منابع طبیعی (جنگل، مرتع ،آبخیز و بیابان)","شبیه سازی ، کنترل و نگهداری منابع آب با نرم افزار Saltmed","2132/34","1","5","0","0","7","0","0","1","7","0","4","3","3","1","2","-","      کارشناسی","15","45","0","0","60","هیچ کدام","شایستگی",,"1388/12/01"
